Description,Location,Price (PHP),Bedrooms,Bath,Floor_area (sqm),Land_area (sqm),Latitude,Longitude,Link
"1-Bedroom Unit (12F) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",21625000.0,1.0,1.0,67.0,,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-12f-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (34D) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",21129000.0,1.0,1.0,66.0,,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-34d-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (3011) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",15972000.0,1.0,,58.0,,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3011-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (4014) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",16274000.0,1.0,,57.0,,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-4014-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (4106) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",18392000.0,1.0,,57.0,,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-4106-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (2707) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",15898000.0,1.0,,56.0,,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-2707-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (2318) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",15627000.0,1.0,1.0,53.0,,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-2318-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (1405) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",15635000.0,1.0,,56.0,,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-1405-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"3-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Cara, NRF...","Buli, Taal",5210000.0,3.0,,66.0,88.0,13.885835,120.955093,https://www.lamudi.com.ph/3-bedroom-2-storey-house-for-sale-at-camella-taal-in-buli-taal-batangas-cara-nrfo.html
"5-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Elaisa WB...","Buli, Taal",7735000.0,5.0,,97.0,130.0,13.885835,120.955093,https://www.lamudi.com.ph/5-bedroom-2-storey-house-for-sale-at-camella-taal-in-buli-taal-batangas-elaisa-wb-rfo.html
"2-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Ezabelle,...","Buli, Taal",3012000.0,2.0,,46.0,66.0,13.885835,120.955093,https://www.lamudi.com.ph/2-bedroom-2-storey-house-for-sale-at-camella-taal-in-buli-taal-batangas-ezabelle-nrfo.html
"5-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Freya","Cupang Proper, Balanga",7751000.0,5.0,,142.0,121.0,14.666375,120.54822,https://www.lamudi.com.ph/5-bedroom-house-for-sale-at-camella-balanga-heights-in-balanga-city-bataan-freya.html
"3-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Cara","Cupang Proper, Balanga",5057000.0,3.0,,66.0,94.0,14.666375,120.54822,https://www.lamudi.com.ph/3-bedroom-house-for-sale-at-camella-balanga-heights-in-balanga-city-bataan-cara.html
"1-Bedroom Unit (32D) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",20793000.0,1.0,1.0,65.0,,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-32d-for-sale-in-empress-at-capitol-commons-pasig-city.html
"Studio Unit (17L) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",11539000.0,1.0,1.0,39.0,,14.575822,121.064324,https://www.lamudi.com.ph/studio-unit-17l-for-sale-in-empress-at-capitol-commons-pasig-city.html
"Studio Unit (47H) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",10744000.0,1.0,1.0,34.0,,14.575822,121.064324,https://www.lamudi.com.ph/studio-unit-47h-for-sale-in-empress-at-capitol-commons-pasig-city.html
"Studio Unit (53C) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",11159000.0,1.0,1.0,38.0,,14.575822,121.064324,https://www.lamudi.com.ph/studio-unit-53c-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (3514) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",16145000.0,1.0,,57.0,,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3514-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"Studio Unit (33N) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",11629000.0,1.0,1.0,40.0,,14.575822,121.064324,https://www.lamudi.com.ph/studio-unit-33n-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (1414) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",15492000.0,1.0,,58.0,,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-1414-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (2203) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",15898000.0,1.0,1.0,56.0,,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-2203-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (1208) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",15635000.0,1.0,,56.0,,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-1208-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"Studio Unit (7L) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",11376000.0,1.0,1.0,39.0,,14.575822,121.064324,https://www.lamudi.com.ph/studio-unit-7l-for-sale-in-empress-at-capitol-commons-pasig-city.html
"Studio Unit (48L) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",12517000.0,1.0,1.0,40.0,,14.575822,121.064324,https://www.lamudi.com.ph/studio-unit-48l-for-sale-in-empress-at-capitol-commons-pasig-city.html
